Name,Position,MLB Team,Contract Length,Contract Amount
Mike Trout,OF,Los Angeles Angels,10,35000000
Aaron Judge,OF,New York Yankees,9,40000000
Mookie Betts,OF,Los Angeles Dodgers,12,30000000
Ronald Acuna Jr.,OF,Atlanta Braves,8,17000000
Vladimir Guerrero Jr.,1B,Toronto Blue Jays,5,19500000
Fernando Tatis Jr.,SS,San Diego Padres,14,28000000
Juan Soto,OF,Washington Nationals,2,31000000
Jacob deGrom,SP,Texas Rangers,5,37000000
Gerrit Cole,SP,New York Yankees,9,36000000
Shane Bieber,SP,Cleveland Guardians,3,12200000
Salvador Perez,C,Kansas City Royals,4,18000000
J.T. Realmuto,C,Philadelphia Phillies,5,23100000
Jose Altuve,2B,Houston Astros,7,25000000
Manny Machado,3B,San Diego Padres,11,30000000
Trea Turner,SS,Philadelphia Phillies,11,30000000
Free Agent Player,DH,Arizona Diamondbacks,,
Minor League Prospect,SP,Boston Red Sox,1,750000
International Signing,OF,Miami Marlins,3,2000000
